file,tappa,autore,licenza,fonte,titolo_commons
g01_t01_edinburgh-castle_01.jpg,g1 t1 edinburgh-castle,Michael D Beckwith,CC0,https://commons.wikimedia.org/wiki/File:Edinburgh_Castle_Exterior.jpg,File:Edinburgh Castle Exterior.jpg
g01_t01_edinburgh-castle_02.jpg,g1 t1 edinburgh-castle,Michael D Beckwith,CC0,https://commons.wikimedia.org/wiki/File:Edinburgh_Homebanner_Castle_Exterior_from_Princes_St.jpg,File:Edinburgh Homebanner Castle Exterior from Princes St.jpg
g01_t01_edinburgh-castle_03.jpg,g1 t1 edinburgh-castle,"Colin and Sarah Northway from San Francisco, Yankland",CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:National_Gallery_and_Scott_Monument,_Edinburgh,_11_July_2010.png","File:National Gallery and Scott Monument, Edinburgh, 11 July 2010.png"
g01_t02_gladstones-land_01.jpg,g1 t2 gladstones-land,marsupium photography,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Edinburgh_(17476256066).jpg,File:Edinburgh (17476256066).jpg
g01_t02_gladstones-land_02.jpg,g1 t2 gladstones-land,"Tony Hisgett from Birmingham, UK",CC BY 2.0,https://commons.wikimedia.org/wiki/File:Gladstones_Land_Golden_Hawk_2_(4530208339).jpg,File:Gladstones Land Golden Hawk 2 (4530208339).jpg
g01_t02_gladstones-land_03.jpg,g1 t2 gladstones-land,marsupium photography,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Gladstones_Land_(16733272384).jpg,File:Gladstones Land (16733272384).jpg
g01_t03_st-giles-cathedral_01.jpg,g1 t3 st-giles-cathedral,Mattias Hill,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:St_Giles_Cathedral.jpg,File:St Giles Cathedral.jpg
g01_t03_st-giles-cathedral_02.jpg,g1 t3 st-giles-cathedral,A P Monblat,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Sutton,_Surrey,_Greater_London,_Trinity_Church_(2).jpg","File:Sutton, Surrey, Greater London, Trinity Church (2).jpg"
g01_t03_st-giles-cathedral_03.jpg,g1 t3 st-giles-cathedral,Osama Shukir Muhammed Amin FRCP(Glasg),CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:23._St_Giles%27_Cathedral,_Edinburgh,_Scotland,_UK._Part_of_the_Cathedral_exterior.jpg","File:23. St Giles' Cathedral, Edinburgh, Scotland, UK. Part of the Cathedral exterior.jpg"
g01_t04_scotch-whisky-experience_01.jpg,g1 t4 scotch-whisky-experience,Farwestern Photo by Gregg M. Erickson,CC BY 3.0,"https://commons.wikimedia.org/wiki/File:The_Royal_Mile,_Edinburgh_-_High_Resoultion.jpg","File:The Royal Mile, Edinburgh - High Resoultion.jpg"
g01_t04_scotch-whisky-experience_02.jpg,g1 t4 scotch-whisky-experience,Ank Kumar,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:The_scotch_whisky_experience,_Edinburgh_(_Ank_Kumar,_infosys_limited)_01.jpg","File:The scotch whisky experience, Edinburgh ( Ank Kumar, infosys limited) 01.jpg"
g01_t04_scotch-whisky-experience_03.jpg,g1 t4 scotch-whisky-experience,Ank Kumar,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:The_scotch_whisky_experience,_Edinburgh_(_Ank_Kumar,_infosys_limited)_02.jpg","File:The scotch whisky experience, Edinburgh ( Ank Kumar, infosys limited) 02.jpg"
g01_t05_holyroodhouse_01.jpg,g1 t5 holyroodhouse,Daniel Kraft,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Edinburgh_Royal_Mile_from_Salisbury_Crags_20211019.jpg,File:Edinburgh Royal Mile from Salisbury Crags 20211019.jpg
g01_t05_holyroodhouse_02.jpg,g1 t5 holyroodhouse,Daniel Lu (User:dllu) (with special thanks to Bastian Kratzke for help with cloning out the lights),CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Palace_of_Holyroodhouse_quadrangle_Edinburgh_2025_dllu.jpg,File:Palace of Holyroodhouse quadrangle Edinburgh 2025 dllu.jpg
g01_t05_holyroodhouse_03.jpg,g1 t5 holyroodhouse,Daniel Kraft,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Holyrood_Palace_and_Abbey_20211021.jpg,File:Holyrood Palace and Abbey 20211021.jpg
g02_t01_princes-street-gardens_01.jpg,g2 t1 princes-street-gardens,Lewis Clarke,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Edinburgh_,_East_Princes_Street_Gardens_-_geograph.org.uk_-_6656425.jpg","File:Edinburgh , East Princes Street Gardens - geograph.org.uk - 6656425.jpg"
g02_t01_princes-street-gardens_02.jpg,g2 t1 princes-street-gardens,dun_deagh,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Ross_Fountain,_Princes_Street_Gardens,_Edinburgh_(6287121284).jpg","File:Ross Fountain, Princes Street Gardens, Edinburgh (6287121284).jpg"
g02_t01_princes-street-gardens_03.jpg,g2 t1 princes-street-gardens,AlasdairW,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:DSCN6001_Princes_Street_Gardens_Shelters_during_Covid19_lockdown.jpg,File:DSCN6001 Princes Street Gardens Shelters during Covid19 lockdown.jpg
g02_t02_portrait-gallery_01.jpg,g2 t2 portrait-gallery,William Henry Goodyear,Public domain,https://commons.wikimedia.org/wiki/File:S03_06_01_004_image_985.jpg,File:S03 06 01 004 image 985.jpg
g02_t02_portrait-gallery_02.jpg,g2 t2 portrait-gallery,Titian,Public domain,https://commons.wikimedia.org/wiki/File:Ritratto_del_Doge_Andrea_Gritti_-_Tiziano_059.jpg,File:Ritratto del Doge Andrea Gritti - Tiziano 059.jpg
g02_t02_portrait-gallery_03.jpg,g2 t2 portrait-gallery,Titian,CC0,"https://commons.wikimedia.org/wiki/File:Titian,_Doge_Andrea_Gritti,_c._1546-1550,_NGA_46144.jpg","File:Titian, Doge Andrea Gritti, c. 1546-1550, NGA 46144.jpg"
g02_t03_dean-village_01.jpg,g2 t3 dean-village,Mike Shaw,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Miller_Row_weir_on_the_Water_of_Leith,_Dean_Village,_Edinburgh_01.jpg","File:Miller Row weir on the Water of Leith, Dean Village, Edinburgh 01.jpg"
